,Year,Month,Central Equatoria,Eastern Equatoria,Gogrial,Jonglei,Lakes,Northern Bahr el Ghazal,Unity,Upper Nile,Warrap,Western Bahr el Ghazal,Western Equatoria,total_events
0,2011,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
1,2011,8,1.0,0.0,0.0,8.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,19.0
2,2011,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
3,2011,10,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0
4,2011,11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,2.0,8.0
5,2011,12,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.0
6,2012,1,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0
7,2012,2,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0
8,2012,3,2.0,1.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0
9,2012,4,1.0,0.0,0.0,1.0,0.0,0.0,13.0,7.0,0.0,2.0,0.0,24.0
10,2012,5,6.0,0.0,0.0,7.0,0.0,8.0,7.0,4.0,1.0,5.0,0.0,38.0
11,2012,6,3.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,12.0
12,2012,7,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0
13,2012,8,1.0,0.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,15.0
14,2012,9,2.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,13.0
15,2012,10,5.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0
16,2012,11,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,16.0
17,2012,12,2.0,0.0,0.0,16.0,2.0,3.0,1.0,0.0,2.0,7.0,0.0,33.0
18,2013,1,1.0,0.0,0.0,8.0,9.0,1.0,2.0,0.0,1.0,2.0,0.0,24.0
19,2013,2,2.0,0.0,0.0,5.0,7.0,1.0,3.0,2.0,4.0,1.0,0.0,25.0
20,2013,3,2.0,1.0,0.0,17.0,6.0,5.0,3.0,1.0,0.0,0.0,0.0,35.0
21,2013,4,1.0,5.0,0.0,11.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,29.0
22,2013,5,4.0,2.0,0.0,19.0,5.0,0.0,2.0,3.0,2.0,1.0,0.0,38.0
23,2013,6,4.0,0.0,0.0,4.0,9.0,1.0,4.0,2.0,0.0,1.0,0.0,25.0
24,2013,7,1.0,0.0,0.0,21.0,5.0,0.0,6.0,2.0,0.0,0.0,0.0,35.0
25,2013,8,8.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
26,2013,9,1.0,1.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,14.0
27,2013,10,4.0,0.0,0.0,7.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,17.0
28,2013,11,0.0,2.0,0.0,6.0,8.0,0.0,3.0,0.0,0.0,0.0,2.0,21.0
29,2013,12,41.0,2.0,0.0,33.0,3.0,2.0,23.0,11.0,0.0,2.0,0.0,117.0
30,2014,1,26.0,5.0,0.0,44.0,9.0,1.0,50.0,41.0,4.0,0.0,2.0,182.0
31,2014,2,9.0,1.0,0.0,19.0,8.0,0.0,23.0,41.0,5.0,0.0,0.0,106.0
32,2014,3,9.0,1.0,0.0,25.0,11.0,0.0,10.0,30.0,3.0,2.0,3.0,94.0
33,2014,4,6.0,1.0,0.0,33.0,4.0,1.0,46.0,20.0,2.0,8.0,0.0,121.0
34,2014,5,9.0,2.0,0.0,6.0,12.0,2.0,23.0,21.0,1.0,2.0,1.0,79.0
35,2014,6,12.0,2.0,0.0,4.0,9.0,2.0,7.0,20.0,0.0,3.0,0.0,59.0
36,2014,7,9.0,1.0,1.0,9.0,6.0,7.0,15.0,13.0,3.0,2.0,4.0,70.0
37,2014,8,4.0,2.0,0.0,4.0,18.0,1.0,24.0,15.0,2.0,2.0,2.0,74.0
38,2014,9,8.0,1.0,0.0,3.0,17.0,1.0,8.0,25.0,5.0,1.0,2.0,71.0
39,2014,10,6.0,1.0,0.0,3.0,12.0,1.0,8.0,14.0,0.0,1.0,2.0,48.0
40,2014,11,4.0,3.0,0.0,12.0,2.0,0.0,3.0,12.0,2.0,3.0,3.0,44.0
41,2014,12,3.0,5.0,0.0,11.0,6.0,0.0,3.0,6.0,6.0,4.0,4.0,48.0
42,2015,1,7.0,2.0,0.0,4.0,6.0,1.0,13.0,16.0,1.0,8.0,3.0,61.0
43,2015,2,5.0,5.0,0.0,10.0,2.0,0.0,8.0,20.0,2.0,1.0,2.0,55.0
44,2015,3,7.0,5.0,0.0,8.0,3.0,1.0,11.0,17.0,3.0,5.0,5.0,65.0
45,2015,4,4.0,1.0,0.0,6.0,7.0,3.0,17.0,19.0,1.0,2.0,1.0,61.0
46,2015,5,5.0,0.0,0.0,7.0,6.0,4.0,22.0,36.0,6.0,5.0,9.0,100.0
47,2015,6,4.0,1.0,0.0,6.0,9.0,4.0,13.0,16.0,2.0,11.0,8.0,74.0
48,2015,7,15.0,2.0,0.0,9.0,12.0,3.0,9.0,10.0,3.0,2.0,7.0,72.0
49,2015,8,10.0,7.0,0.0,9.0,5.0,0.0,23.0,11.0,2.0,4.0,10.0,81.0
50,2015,9,12.0,0.0,0.0,8.0,6.0,0.0,19.0,24.0,0.0,0.0,7.0,76.0
51,2015,10,12.0,0.0,0.0,5.0,5.0,2.0,25.0,8.0,6.0,4.0,5.0,72.0
52,2015,11,8.0,5.0,0.0,10.0,4.0,0.0,15.0,6.0,0.0,10.0,10.0,68.0
53,2015,12,5.0,7.0,0.0,3.0,4.0,0.0,5.0,8.0,1.0,13.0,18.0,64.0
54,2016,1,16.0,0.0,0.0,5.0,0.0,1.0,1.0,4.0,4.0,11.0,15.0,57.0
55,2016,2,4.0,1.0,0.0,9.0,2.0,0.0,2.0,6.0,5.0,14.0,18.0,61.0
56,2016,3,5.0,2.0,0.0,11.0,2.0,7.0,8.0,12.0,4.0,4.0,2.0,57.0
57,2016,4,8.0,0.0,0.0,7.0,3.0,5.0,10.0,2.0,2.0,17.0,7.0,61.0
58,2016,5,13.0,6.0,0.0,6.0,2.0,2.0,4.0,3.0,5.0,6.0,3.0,50.0
59,2016,6,12.0,2.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,16.0,2.0,43.0
60,2016,7,70.0,23.0,0.0,4.0,2.0,4.0,7.0,3.0,3.0,13.0,4.0,133.0
61,2016,8,24.0,8.0,0.0,5.0,2.0,1.0,14.0,11.0,1.0,3.0,5.0,74.0
62,2016,9,53.0,9.0,0.0,4.0,1.0,2.0,14.0,5.0,2.0,6.0,12.0,108.0
63,2016,10,37.0,26.0,0.0,5.0,4.0,2.0,11.0,15.0,1.0,8.0,11.0,120.0
64,2016,11,18.0,5.0,0.0,18.0,8.0,1.0,24.0,6.0,2.0,4.0,12.0,98.0
65,2016,12,39.0,7.0,0.0,14.0,10.0,0.0,19.0,11.0,2.0,7.0,5.0,114.0
66,2017,1,29.0,6.0,0.0,8.0,2.0,1.0,9.0,31.0,0.0,8.0,9.0,103.0
67,2017,2,22.0,8.0,0.0,22.0,2.0,1.0,9.0,28.0,0.0,4.0,4.0,100.0
68,2017,3,34.0,11.0,0.0,15.0,5.0,0.0,12.0,13.0,3.0,10.0,9.0,112.0
69,2017,4,26.0,14.0,0.0,37.0,8.0,3.0,10.0,17.0,7.0,21.0,5.0,148.0
70,2017,5,39.0,4.0,0.0,14.0,11.0,0.0,8.0,20.0,4.0,7.0,9.0,116.0
71,2017,6,20.0,7.0,0.0,4.0,7.0,4.0,4.0,37.0,4.0,8.0,11.0,106.0
72,2017,7,15.0,7.0,0.0,12.0,3.0,1.0,9.0,38.0,4.0,4.0,5.0,98.0
73,2017,8,21.0,5.0,0.0,4.0,9.0,2.0,8.0,12.0,4.0,7.0,5.0,77.0
74,2017,9,13.0,4.0,0.0,6.0,10.0,0.0,19.0,7.0,7.0,3.0,10.0,79.0
75,2017,10,29.0,4.0,0.0,14.0,3.0,5.0,8.0,4.0,5.0,1.0,10.0,83.0
76,2017,11,28.0,11.0,0.0,15.0,9.0,0.0,14.0,2.0,3.0,4.0,13.0,99.0
77,2017,12,20.0,5.0,0.0,6.0,7.0,3.0,15.0,6.0,2.0,7.0,8.0,79.0
78,2018,1,18.0,3.0,0.0,19.0,1.0,1.0,7.0,3.0,2.0,5.0,4.0,63.0
79,2018,2,12.0,4.0,0.0,10.0,5.0,0.0,14.0,4.0,5.0,8.0,2.0,64.0
80,2018,3,16.0,4.0,0.0,13.0,2.0,0.0,2.0,10.0,4.0,4.0,0.0,55.0
81,2018,4,14.0,0.0,0.0,10.0,1.0,2.0,29.0,3.0,0.0,2.0,2.0,63.0
82,2018,5,5.0,1.0,0.0,3.0,4.0,2.0,4.0,9.0,7.0,5.0,8.0,48.0
83,2018,6,11.0,6.0,0.0,0.0,4.0,0.0,2.0,3.0,2.0,26.0,6.0,60.0
84,2018,7,21.0,4.0,0.0,5.0,8.0,0.0,6.0,1.0,0.0,5.0,4.0,54.0
85,2018,8,18.0,4.0,0.0,4.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,36.0
86,2018,9,28.0,4.0,0.0,1.0,5.0,0.0,5.0,0.0,2.0,3.0,4.0,52.0
87,2018,10,29.0,2.0,0.0,9.0,10.0,0.0,2.0,1.0,1.0,22.0,1.0,77.0
88,2018,11,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
